"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000153037",0.630043552819913,7.9114259004712,39.1357610396873,3.95335990151434e-10,2.63250112705746e-08
"ENSG00000124762",1.80380474551268,6.65989541309478,39.0814828363854,4.06481089828657e-10,2.69021082256113e-08
"ENSG00000101608",0.702787195392532,8.29547966399347,39.0637194096566,4.10196396141599e-10,2.69834647498238e-08
"ENSG00000231925",1.09859898433907,7.47721440021988,39.0005217884869,4.23692283860664e-10,2.77033496929135e-08
"ENSG00000113719",-1.06451686961268,6.17529491808588,38.91548661678,4.42555756170757e-10,2.87634741166311e-08
"ENSG00000168016",4.35497984938995,3.28579726879045,38.8339875988465,4.61423434190918e-10,2.98112497304061e-08
"ENSG00000146918",-2.47230025454346,5.11712275062358,38.7303966658108,4.86572436439258e-10,3.12500427521402e-08
"ENSG00000119335",-0.469723084690022,9.65792751320937,38.508354765583,5.45197929307806e-10,3.48092842629819e-08
"ENSG00000274173",1.17005949310424,6.88300565887841,38.4449732262179,5.63194587585833e-10,3.57480354015008e-08
"ENSG00000159674",-0.891130597372066,6.3618702321528,38.3823432855175,5.81562002296081e-10,3.66992672844283e-08
"ENSG00000171960",-1.84898451432041,4.4084563395242,38.0575651755706,6.86878678387344e-10,4.30946888740823e-08
"ENSG00000166342",-1.25125521669767,7.14529110359367,37.9333675295447,7.32024800366183e-10,4.56632022021526e-08
"ENSG00000164096",-0.901315631726233,7.97062867342958,37.9044233156199,7.42965987928143e-10,4.60808733312689e-08
"ENSG00000230202",-0.396017446134593,7.90557545434155,37.7528870515965,8.02977929341155e-10,4.93014254632127e-08
"ENSG00000167978",-0.760496509209427,6.04455972155952,37.7504645539287,8.03975705453164e-10,4.93014254632127e-08
"ENSG00000132475",0.378419291377316,10.6895232983467,37.3425417531371,9.90991344659194e-10,6.04282025557915e-08
"ENSG00000253785",0.71276940964365,4.96821237400199,37.322244291142,1.00135909934893e-09,6.05307435260517e-08
"ENSG00000129562",0.493482108381653,8.75294437551969,37.3174445597107,1.00382659247184e-09,6.05307435260517e-08
"ENSG00000111335",7.10125194811785,3.25575257203121,36.8892951467083,1.25030551743132e-09,7.49768844541413e-08
"ENSG00000136997",-1.27153147148293,5.7913867971917,36.7682231659178,1.33041183916455e-09,7.93422533092971e-08
"ENSG00000235916",0.575028045800319,4.1660062610297,36.728902625706,1.3575179812482e-09,8.05163943632129e-08
"ENSG00000125995",0.424176585835154,7.30905460462668,36.3017981331575,1.69007861090063e-09,9.96962676234533e-08
"ENSG00000054148",0.548758043456712,7.3494510077628,36.1016401117752,1.87289145103434e-09,1.09883047619063e-07
"ENSG00000154642",2.19591702825639,5.58137114313293,35.7479062357467,2.2457319291486e-09,1.31049324510639e-07
"ENSG00000198301",-1.26230208974908,6.19566975328979,35.5958528025515,2.42803911272655e-09,1.40930141869166e-07
"ENSG00000240065",3.97064030952012,3.15065394027487,35.5352674478933,2.50474297247255e-09,1.44608937357537e-07
"ENSG00000075624",0.417452550146257,10.8564568160942,35.3037753371059,2.82084715229599e-09,1.61997222174713e-07
"ENSG00000256356",-0.583870198605939,3.70625542218433,35.2758862465825,2.86153211912532e-09,1.63468787478875e-07
"ENSG00000092201",-1.05172817004861,6.98970448030713,35.2556211558472,2.8914632333827e-09,1.6431383212113e-07
"ENSG00000225921",-1.12713432690925,4.836349667102,35.2084617358942,2.96233604792142e-09,1.67464559709058e-07
"ENSG00000131747",-2.83495409114192,6.6519403488226,35.1908236590921,2.98928788446776e-09,1.68112594290223e-07
"ENSG00000129007",1.65728367642195,3.56738952995653,35.1459912501554,3.05890447887463e-09,1.71140975328377e-07
"ENSG00000137815",-1.35734588981009,5.34354003300066,34.9846061270013,3.32322248866246e-09,1.84455045422503e-07
"ENSG00000113732",-0.68919714503295,8.57575798119614,34.9770139668279,3.3362054685713e-09,1.84455045422503e-07
"ENSG00000111640",0.499068448573613,11.4330482944058,34.9702253388979,3.34785737499844e-09,1.84455045422503e-07
"ENSG00000185787",0.448345819676844,9.80810003408247,34.9262637639557,3.42430517817439e-09,1.87714183858105e-07
"ENSG00000170043",0.671167700540305,5.12616981563089,34.6509989202501,3.94436117040816e-09,2.15136161525679e-07
"ENSG00000197110",7.83242914099556,2.97675325878049,34.5810886878196,4.08859167872831e-09,2.21302898398086e-07
"ENSG00000228716",-1.08038609607558,5.2150384577314,34.5765186846355,4.09820182218678e-09,2.21302898398086e-07
"ENSG00000118600",-1.69820021819753,5.36736306099566,34.4142815012261,4.45442746977833e-09,2.39348295826604e-07
"ENSG00000177889",-0.777037287188511,8.01062813119063,34.4026423401929,4.48114505426299e-09,2.39597775462909e-07
"ENSG00000140563",-1.86369917535944,5.83737726322592,34.342013972928,4.6229341648224e-09,2.45967291298933e-07
"ENSG00000158417",-0.715913530108569,7.72844261522239,34.2765421926391,4.78110045307878e-09,2.53141777159595e-07
"ENSG00000026103",2.44539513508544,5.9664911985596,34.2590446403084,4.8242810828821e-09,2.54188091619429e-07
"ENSG00000169905",0.580215844377157,9.26577636312862,34.1037765891388,5.22497605099738e-09,2.73970483369689e-07
"ENSG00000141867",-1.00209334417464,5.64215093507454,33.9186218280168,5.74660358470902e-09,2.99873246675152e-07
"ENSG00000185686",1.11832469135784,6.93662932142959,33.9081866165656,5.77750824621194e-09,3.00043418681265e-07
"ENSG00000069275",-0.639148919763193,7.86805838117547,33.77970465432,6.17193975351402e-09,3.19001114688768e-07
"ENSG00000115561",-1.17024244302065,6.18100206564814,33.5299036287902,7.0176715552421e-09,3.60893030376927e-07
"ENSG00000163041",-0.973003680849413,3.26002741577113,33.5212532682216,7.04895176339676e-09,3.60893030376927e-07
"ENSG00000136826",1.6510856955361,6.33256001829899,33.461158082996,7.27014854367132e-09,3.70470386352152e-07
"ENSG00000215007",0.705645862956649,2.85301728817763,33.4458840602544,7.32746824273772e-09,3.71646450031192e-07
"ENSG00000143977",-0.592789476096803,6.20827156139896,33.3355131540963,7.75533879905933e-09,3.91518359651116e-07
"ENSG00000140319",0.357985181148718,9.95375917506608,32.8507357145993,9.95134042230293e-09,5.00054856220722e-07
"ENSG00000258581",3.48566964657213,4.00251141953269,32.8115905336808,1.01537616805257e-08,5.07875250140213e-07
"ENSG00000122566",-0.460296127427452,10.0576851178969,32.798156068716,1.02241781748461e-08,5.09051513347614e-07
"ENSG00000099795",0.565912986764088,5.85679891055109,32.7790028871115,1.03254157859292e-08,5.11744579636874e-07
"ENSG00000268916",1.17637915400637,4.31445556450282,32.5946780260405,1.13525183545106e-08,5.60091973726629e-07
"ENSG00000105640",-0.516313890805781,4.75849695739822,32.316543011687,1.30993338125563e-08,6.42752532726874e-07
"ENSG00000151148",1.66935020752869,6.79559180486343,32.3095733715646,1.31464033780511e-08,6.42752532726874e-07
"ENSG00000198252",-1.33958769085605,6.25144648310651,32.1767143805244,1.40767775103836e-08,6.85154004922437e-07
"ENSG00000046604",-1.13056124459034,7.35646114388151,31.9072310714369,1.61714025169966e-08,7.83591084461967e-07
"ENSG00000100911",0.752322755803967,7.5689631798652,31.8581409319622,1.65853080188447e-08,8.0007525882907e-07
"ENSG00000198168",-0.690248497481831,7.68107387376975,31.6851615631555,1.81302150474689e-08,8.70731655421362e-07
"ENSG00000115414",-1.45624978536588,7.32985396781323,31.6594422105966,1.83719171924301e-08,8.78452815888267e-07
"ENSG00000118985",-1.40966318423397,6.6988474827884,31.6229714747366,1.87202013510074e-08,8.91180111683483e-07
"ENSG00000268942",-1.50428282964685,4.03632598976113,31.5554494013463,1.93825681458192e-08,9.18682946090486e-07
"ENSG00000167034",-0.89309274848964,11.0312085688856,31.5316225627939,1.96218623779842e-08,9.25981279350612e-07
"ENSG00000095794",1.62682720101632,5.00390516573262,31.4105675617294,2.0884114524871e-08,9.81282160402381e-07
"ENSG00000178078",1.24532627142339,5.25173627198145,31.2526928436247,2.26533041994872e-08,1.0598231197467e-06
"ENSG00000144802",3.86051196926796,4.93162725559515,31.1462961631527,2.39295515865471e-08,1.11472683656816e-06
"ENSG00000156990",1.23995737871517,5.32733864515555,31.0526855792944,2.51118634754844e-08,1.16480412890132e-06
"ENSG00000096968",2.30396869824638,5.66967800401808,31.0242828006637,2.54820352780628e-08,1.17694472726848e-06
"ENSG00000189403",-0.503742245833656,8.34860342479463,31.0126598293501,2.56350884111554e-08,1.17899682040119e-06
"ENSG00000135679",1.00329176055182,9.06738149525351,31.0043789555635,2.57446937263681e-08,1.17904179622785e-06
"ENSG00000115762",-1.2229595310079,6.97226743659524,30.9507149138286,2.64664573567154e-08,1.20700389978903e-06
"ENSG00000086062",0.723724938821653,7.90592820142914,30.939032295037,2.66262521592707e-08,1.20921063153441e-06
"ENSG00000167470",0.910495195948129,3.69060277408978,30.8959940442934,2.72233131071161e-08,1.22695701453027e-06
"ENSG00000152700",0.617170476593533,9.32708004812113,30.8945837578439,2.72431030497323e-08,1.22695701453027e-06
"ENSG00000087074",2.08245651153174,3.27413432474466,30.7860956807985,2.88094742326515e-08,1.28792049022633e-06
